state,clinton,trump
Arizona,45.1,48.7
Colorado,48.2,43.3
Florida,47.8,49
Iowa,41.7,51.1
Maine,47.8,44.9
Michigan,47.3,47.5
Minnesota,46.4,44.9
Nevada,47.9,45.5
New Hampshire,46.8,46.5
North Carolina,46.2,49.8
Ohio,43.6,51.7
Pennsylvania,47.9,48.6
Wisconsin,46.5,47.2
Alabama,34.4,62.1
Alaska,36.6,51.3
Arkansas,33.7,60.6
California,61.7,31.6
Connecticut,54.6,40.9
Delaware,53.4,41.9
District of Columbia,90.9,4.1
Georgia,45.9,51
Hawaii,62.2,30
Idaho,27.5,59.3
Illinois,55.8,38.8
Indiana,37.8,56.9
Kansas,36.1,56.7
Kentucky,32.7,62.5
Louisiana,38.4,58.1
Maryland,60.3,33.9
Massachusetts,60,32.8
Mississippi,40.1,57.9
Missouri,38.1,56.8
Montana,35.7,56.2
Nebraska,33.7,58.7
New Jersey,55.5,41.4
New Mexico,48.3,40
New York,59,36.5
North Dakota,27.2,63
Oklahoma,28.9,65.3
Oregon,50.1,39.1
Rhode Island,54.4,38.9
South Carolina,40.7,54.9
South Dakota,31.7,61.5
Tennessee,34.7,60.7
Texas,43.2,52.2
Utah,27.5,45.5
Vermont,56.7,30.3
Virginia,49.8,44.4
Washington,51.8,36.3
West Virginia,26.5,68.6
Wyoming,21.9,68.2
